========================= TABLE 3: SORTED BY BLENDED P/E =========================

Symbol  | Trailing  Forward   Blended  | P/B Ratio  P/S Ratio | Final Value
ARSAN   |       N/A       N/A       N/A  |       0.53      41.47 |       4.0634
ARZUM   |       N/A       N/A       N/A  |        N/A       0.27 |       8.4466
ATAGY   |       N/A       N/A       N/A  |       0.77      12.95 |       3.6264
ATAKP   |       N/A       N/A       N/A  |       1.08       1.98 |       3.5757
AVGYO   |       N/A       N/A       N/A  |       0.71       6.97 |       3.4717
AVHOL   |       N/A       N/A       N/A  |       1.63       3.35 |       3.9054
AVOD    |       N/A       N/A       N/A  |       0.89       0.66 |       3.4422
AYCES   |       N/A       N/A       N/A  |       3.24      40.48 |       5.5346
AYDEM   |       N/A      3.42       N/A  |       0.42       1.45 |       3.2038
AZTEK   |       N/A       N/A       N/A  |       2.65       0.55 |       4.4106
BAGFS   |       N/A     27.78       N/A  |      49.44       0.82 |      18.8468
BAHKM   |       N/A       N/A       N/A  |       4.82       6.49 |       5.7211
BAKAB   |       N/A       N/A       N/A  |       1.31       0.60 |       3.6720
BANVT   |       N/A       N/A       N/A  |       1.52       0.55 |       3.7906
BAYRK   |       N/A       N/A       N/A  |       4.88       4.98 |       5.7272
BEGYO   |       N/A       N/A       N/A  |       0.62      21.33 |       3.7108
BERA    |       N/A       N/A       N/A  |       0.34       0.57 |       3.1394
BEYAZ   |       N/A       N/A       N/A  |       1.93       0.13 |       4.0032
BIENY   |       N/A       N/A       N/A  |       0.59       0.65 |       3.2792
BIGEN   |       N/A       N/A       N/A  |      13.83      40.94 |      10.7476
BINBN   |       N/A       N/A       N/A  |      11.09      39.94 |       9.8385
BINHO   |       N/A       N/A       N/A  |       1.03        N/A |       3.7070
BIZIM   |       N/A       N/A       N/A  |      15.89       0.06 |      10.4440
BJKAS   |       N/A       N/A       N/A  |       2.07       1.41 |       4.1066
BMSTL   |       N/A       N/A       N/A  |      10.24       5.54 |       8.6828
BOBET   |       N/A       N/A       N/A  |       1.06       0.65 |       3.5368
BORLS   |       N/A       N/A       N/A  |        N/A       0.71 |       8.4555
BORSK   |       N/A       N/A       N/A  |       0.77       1.11 |       3.3874
BRISA   |       N/A      5.14       N/A  |       1.02       0.62 |       3.5126
BRKO    |       N/A       N/A       N/A  |       0.87      12.20 |       3.6630
BRLSM   |       N/A       N/A       N/A  |       2.62       0.82 |       4.3964
BRMEN   |       N/A       N/A       N/A  |      61.94       7.70 |      22.1085
BSOKE   |       N/A       N/A       N/A  |       4.45      10.42 |       5.5975
BTCIM   |       N/A       N/A       N/A  |       1.68       2.35 |       3.9121
BUCIM   |       N/A       N/A       N/A  |       0.54       0.71 |       3.2543
BURCE   |       N/A       N/A       N/A  |       3.28       5.10 |       4.8448
BURVA   |       N/A       N/A       N/A  |      76.51      32.17 |      26.2418
BVSAN   |       N/A       N/A       N/A  |       1.69       1.34 |       3.8975
BYDNR   |       N/A       N/A       N/A  |       2.12       0.78 |       4.1218
CANTE   |       N/A       N/A       N/A  |       0.44       2.05 |       3.2245
CASA    |       N/A       N/A       N/A  |       2.33      -1.06 |       4.4248
CELHA   |       N/A       N/A       N/A  |       1.34       3.45 |       3.7486
CEMAS   |       N/A       N/A       N/A  |       0.95       2.40 |       3.5110
CEMTS   |       N/A       N/A       N/A  |       0.73       0.80 |       3.3565
CEMZY   |       N/A       N/A       N/A  |       6.85      12.04 |       6.9514
CMBTN   |       N/A       N/A       N/A  |      11.98       0.66 |       9.4775
CRFSA   |       N/A       N/A       N/A  |        N/A       0.23 |       8.4459
CUSAN   |       N/A       N/A       N/A  |       2.26       0.66 |       4.1996
CVKMD   |       N/A       N/A       N/A  |       5.48      17.80 |       6.3118
DAGI    |       N/A       N/A       N/A  |       1.97       1.03 |       4.0458
DARDL   |       N/A       N/A       N/A  |       0.65       0.35 |       3.3044
DCTTR   |       N/A       N/A       N/A  |       1.75       3.29 |       3.9707
DENGE   |       N/A       N/A       N/A  |       1.06       2.41 |       3.5714
DERHL   |       N/A       N/A       N/A  |       1.52       0.61 |       3.7892
DESPC   |       N/A       N/A       N/A  |       2.39       0.12 |       4.2556
DEVA    |       N/A       N/A       N/A  |       0.49       0.72 |       3.2248
DGGYO   |       N/A       N/A       N/A  |       0.87      11.03 |       3.6390
DGNMO   |       N/A       N/A       N/A  |       2.23       0.24 |       4.1725
DIRIT   |       N/A       N/A       N/A  |      16.12     117.88 |      12.8572
DITAS   |       N/A       N/A       N/A  |       2.57       2.14 |       4.3974
DMSAS   |       N/A       N/A       N/A  |       1.41       0.63 |       3.7318
DOFER   |       N/A       N/A       N/A  |       1.14       0.25 |       3.5707
DOGUB   |       N/A       N/A       N/A  |      59.13      55.71 |      22.3674
DOKTA   |       N/A       N/A       N/A  |       1.16       0.54 |       3.5901
DURDO   |       N/A       N/A       N/A  |       2.65       1.02 |       4.4181
DYOBY   |       N/A       N/A       N/A  |       0.51       0.47 |       3.2335
ECILC   |       N/A       N/A       N/A  |       0.78       5.26 |       3.4760
ECOGR   |       N/A       N/A       N/A  |       1.20       3.50 |       3.6719
ECZYT   |       N/A       N/A       N/A  |       1.02        N/A |       3.7020
EDATA   |       N/A       N/A       N/A  |       8.54       3.41 |       7.7038
EGSER   |       N/A       N/A       N/A  |     113.79       0.51 |      34.9290
EKIZ    |       N/A       N/A       N/A  |       2.15       2.05 |       4.1624
EKOS    |       N/A       N/A       N/A  |       2.56       3.23 |       4.4151
EKSUN   |       N/A       N/A       N/A  |       1.60       0.37 |       3.8299
EMPAE   |       N/A       N/A       N/A  |       9.25       3.28 |       8.0927
ENDAE   |       N/A       N/A       N/A  |       0.67       5.92 |       3.4261
ENPRA   |       N/A       N/A       N/A  |      39.42      49.42 |      17.3134
ENSRI   |       N/A       N/A       N/A  |       2.27       7.82 |       4.3439
ENTRA   |       N/A       N/A       N/A  |       0.49       4.54 |       3.3023
EPLAS   |       N/A       N/A       N/A  |       0.30       0.47 |       3.1131
ERBOS   |       N/A       N/A       N/A  |       0.91       0.62 |       3.4518
ERCB    |       N/A       N/A       N/A  |       1.08       0.57 |       3.5479
ERSU    |       N/A       N/A       N/A  |       1.89       6.60 |       4.1112
ESCAR   |       N/A       N/A       N/A  |       3.21       5.94 |       4.8230
ESEN    |       N/A       N/A       N/A  |       0.55       4.69 |       3.3384
ETILR   |       N/A       N/A       N/A  |       2.37        N/A |       4.4471
ETYAT   |       N/A       N/A       N/A  |      11.61      14.48 |       9.6137
EUHOL   |       N/A       N/A       N/A  |       2.82   -3671.22 |       4.6947
EUKYO   |       N/A       N/A       N/A  |       8.95      11.56 |       8.0930
EUYO    |       N/A       N/A       N/A  |       4.33       5.82 |       5.4403
EYGYO   |       N/A       N/A       N/A  |       0.86       2.63 |       3.4668
FENER   |       N/A       N/A       N/A  |       2.11       1.80 |       4.1394
FLAP    |       N/A       N/A       N/A  |       0.98       2.88 |       3.5354
FORMT   |       N/A       N/A       N/A  |       1.06       2.71 |       3.5808
FRIGO   |       N/A       N/A       N/A  |       0.62       1.33 |       3.3110
FZLGY   |       N/A       N/A       N/A  |       4.20       6.03 |       5.3703
GLBMD   |       N/A       N/A       N/A  |       2.81       0.06 |       4.4877
GMTAS   |       N/A       N/A       N/A  |        N/A        N/A |       8.6412
GOODY   |       N/A       N/A       N/A  |       1.96       0.18 |       4.0250
GOZDE   |       N/A       N/A       N/A  |       0.34   19668.26 |     396.4952
GRNYO   |       N/A       N/A       N/A  |       7.62       1.55 |       7.1628
GSRAY   |       N/A       N/A       N/A  |       0.87       0.87 |       3.4384
GUNDG   |       N/A       N/A       N/A  |      80.51      38.36 |      27.3663
GZNMI   |       N/A       N/A       N/A  |       3.10       1.26 |       4.6727
HATEK   |       N/A       N/A       N/A  |       0.64       1.07 |       3.3147
HATSN   |       N/A       N/A       N/A  |       1.95       2.70 |       4.0697
HEKTS   |       N/A       N/A       N/A  |       1.87       4.98 |       4.0719
HKTM    |       N/A       N/A       N/A  |       1.06       1.34 |       3.5498
HOROZ   |       N/A       N/A       N/A  |       1.45       0.48 |       3.7457
HRKET   |       N/A       N/A       N/A  |       1.93       1.97 |       4.0415
HUBVC   |       N/A       N/A       N/A  |       1.38      97.69 |       5.6542
HUNER   |       N/A       N/A       N/A  |       0.82       4.12 |       3.4769
HURGZ   |       N/A       N/A       N/A  |       1.68       3.29 |       3.9299
ICUGS   |       N/A       N/A       N/A  |       3.41       7.11 |       4.9615
IEYHO   |       N/A       N/A       N/A  |      37.00      41.97 |      16.5603
IHAAS   |       N/A       N/A       N/A  |      32.67      17.96 |      14.9971
IHEVA   |       N/A       N/A       N/A  |       0.36       0.20 |       3.1421
IHLAS   |       N/A       N/A       N/A  |       0.64       0.21 |       3.2991
IHYAY   |       N/A       N/A       N/A  |       1.14       0.22 |       3.5717
IMASM   |       N/A       N/A       N/A  |       0.91       1.02 |       3.4637
INTEM   |       N/A       N/A       N/A  |       5.29       2.54 |       5.9000
ISATR   |       N/A       N/A       N/A  |  293908.10  309667.78 |   79676.8512
ISBTR   |       N/A       N/A       N/A  |   31468.95   33156.35 |    8536.8350
ISGSY   |       N/A       N/A       N/A  |       0.97        N/A |       3.6773
ISGYO   |       N/A     59.86       N/A  |       0.45       8.59 |       3.3615
ISSEN   |       N/A       N/A       N/A  |       0.54       0.70 |       3.2544
IZFAS   |       N/A       N/A       N/A  |      29.23      25.43 |      14.2864
IZMDC   |       N/A       N/A       N/A  |       0.69       0.22 |       3.3273
JANTS   |       N/A       N/A       N/A  |       1.56       1.75 |       3.8330
KAPLM   |       N/A       N/A       N/A  |       7.68       4.69 |       7.2604
KAREL   |       N/A       N/A       N/A  |       8.19       0.49 |       7.4553
KARTN   |       N/A       N/A       N/A  |       4.73       3.10 |       5.6053
KAYSE   |       N/A       N/A       N/A  |       0.14       0.67 |       3.0331
KENT    |       N/A       N/A       N/A  |      16.49       7.51 |      10.7420
KFEIN   |       N/A       N/A       N/A  |       1.40       0.61 |       3.7250
KGYO    |       N/A       N/A       N/A  |       8.70       6.04 |       7.8463
KLGYO   |       N/A       N/A       N/A  |       0.28       5.07 |       3.1972
KLMSN   |       N/A       N/A       N/A  |       0.69       0.37 |       3.3256
KLSER   |       N/A       N/A       N/A  |       6.92       0.93 |       6.7635
KLYPV   |       N/A       N/A       N/A  |       1.76       3.37 |       3.9788
KNFRT   |       N/A       N/A       N/A  |       2.32       0.51 |       4.2297
KONKA   |       N/A       N/A       N/A  |       0.68       1.87 |       3.3511
KONTR   |       N/A       N/A       N/A  |       0.62       0.24 |       3.2883
KOPOL   |       N/A       N/A       N/A  |       1.89       1.67 |       4.0144
KORDS   |       N/A     27.26       N/A  |       0.82       0.44 |       3.4004
KRPLS   |       N/A       N/A       N/A  |       1.82       0.82 |       3.9604
KTSKR   |       N/A       N/A       N/A  |       0.81       3.31 |       3.4538
KUVVA   |       N/A       N/A       N/A  |       8.93       4.85 |       7.9508
KZGYO   |       N/A       N/A       N/A  |       0.36        N/A |       3.3364
LRSHO   |       N/A       N/A       N/A  |       0.38       0.39 |       3.1577
LXGYO   |       N/A       N/A       N/A  |       2.53       6.34 |       4.4604
LYDHO   |       N/A       N/A       N/A  |       9.40    1026.09 |      28.6347
MAGEN   |       N/A       N/A       N/A  |       5.79      60.59 |       7.3401
MAKTK   |       N/A       N/A       N/A  |       1.44       2.56 |       3.7819
MANAS   |       N/A       N/A       N/A  |       8.57      21.80 |       8.0931
MARKA   |       N/A       N/A       N/A  |       9.38      21.88 |       8.5352
MARMR   |       N/A       N/A       N/A  |       1.51        N/A |       3.9705
MCARD   |       N/A       N/A       N/A  |       8.27       6.39 |       7.6186
MEKAG   |       N/A       N/A       N/A  |       2.03       1.07 |       4.0788
MEPET   |       N/A       N/A       N/A  |       0.61       0.42 |       3.2875
METRO   |       N/A       N/A       N/A  |       1.17      21.42 |       4.0122
MEYSU   |       N/A       N/A       N/A  |       3.18       3.14 |       4.7528
MIATK   |       N/A       N/A       N/A  |       3.49       7.66 |       5.0123
MRSHL   |       N/A       N/A       N/A  |      20.53       5.95 |      11.7212
MZHLD   |       N/A       N/A       N/A  |      10.25       0.28 |       8.5827
NETAS   |       N/A       N/A       N/A  |        N/A       0.31 |       8.4474
NIBAS   |       N/A       N/A       N/A  |       3.40      12.41 |       5.0584
NUGYO   |       N/A       N/A       N/A  |       0.50       5.21 |       3.3191
OBAMS   |       N/A       N/A       N/A  |       1.56       0.76 |       3.8138
ONRYT   |       N/A       N/A       N/A  |       1.56       4.05 |       3.8811
ORCAY   |       N/A       N/A       N/A  |       1.36       2.17 |       3.7332
ORMA    |       N/A       N/A       N/A  |       0.72       1.11 |       3.3597
OSTIM   |       N/A       N/A       N/A  |       0.39       3.53 |       3.2258
OTKAR   |       N/A       N/A       N/A  |       5.73       0.88 |       6.1113
OZATD   |       N/A       N/A       N/A  |      25.77      43.45 |      13.7810
OZKGY   |       N/A      1.61       N/A  |       0.34       3.65 |       3.1996
PAMEL   |       N/A       N/A       N/A  |       4.14      38.43 |       5.9883
PARSN   |       N/A       N/A       N/A  |      50.83       1.39 |      19.2047
PENGD   |       N/A       N/A       N/A  |       0.45       0.62 |       3.1986
PETKM   |       N/A      4.57       N/A  |       0.71       0.52 |       3.3440
PNSUT   |       N/A     13.64       N/A  |       0.32       0.26 |       3.1230
POLHO   |       N/A       N/A       N/A  |       5.41       2.59 |       5.9695
PRKAB   |       N/A       N/A       N/A  |       8.68       0.47 |       7.7235
PRKME   |       N/A       N/A       N/A  |       0.57       5.61 |       3.3696
QUAGR   |       N/A       N/A       N/A  |       1.01       0.98 |       3.5134
REEDR   |       N/A       N/A       N/A  |       0.72       3.85 |       3.4159
RNPOL   |       N/A       N/A       N/A  |       1.30       0.77 |       3.6697
RUBNS   |       N/A       N/A       N/A  |       0.40       0.89 |       3.1795
RUZYE   |       N/A       N/A       N/A  |       1.81       8.76 |       4.1102
SASA    |       N/A       N/A       N/A  |       0.70       1.98 |       3.3634
SEGYO   |       N/A       N/A       N/A  |       0.56       9.37 |       3.4351
SELVA   |       N/A       N/A       N/A  |       0.83       1.10 |       3.4184
SERNT   |       N/A       N/A       N/A  |       0.91       1.45 |       3.4733
SILVR   |       N/A       N/A       N/A  |       0.54       0.58 |       3.2497
SKYLP   |       N/A       N/A       N/A  |      10.68      10.45 |       9.0235
SKYMD   |       N/A       N/A       N/A  |       1.85       0.04 |       3.9622
SMART   |       N/A       N/A       N/A  |       2.41       6.12 |       4.3892
SNICA   |       N/A       N/A       N/A  |       0.54       0.79 |       3.2519
SNPAM   |       N/A       N/A       N/A  |       1.10      19.49 |       3.9354
SODSN   |       N/A       N/A       N/A  |       6.09       4.11 |       6.3755
SOKE    |       N/A       N/A       N/A  |       1.37       0.76 |       3.7109
SOKM    |       N/A      3.71       N/A  |       0.73       0.10 |       3.3445
SONME   |       N/A       N/A       N/A  |       2.13      48.61 |       5.0869
SUWEN   |       N/A       N/A       N/A  |       2.39       0.47 |       4.2629
SVGYO   |       N/A       N/A       N/A  |       5.68     320.20 |      12.4716
TEKTU   |       N/A       N/A       N/A  |       0.52      23.04 |       3.6907
TKFEN   |       N/A     10.22       N/A  |       1.55       1.02 |       3.8167
TKNSA   |       N/A      2.11       N/A  |      12.29       0.05 |       9.5435
TMPOL   |       N/A       N/A       N/A  |       7.71       5.13 |       7.2857
TMSN    |       N/A       N/A       N/A  |       0.67       5.61 |       3.4233
TRILC   |       N/A       N/A       N/A  |       0.76       0.24 |       3.3645
TSPOR   |       N/A       N/A       N/A  |       0.53       2.63 |       3.2842
TTRAK   |       N/A      3.83       N/A  |       2.57       0.93 |       4.3734
TUCLK   |       N/A       N/A       N/A  |       1.09       0.82 |       3.5550
ULAS    |       N/A       N/A       N/A  |       1.42     293.27 |       9.5865
ULUFA   |       N/A       N/A       N/A  |       0.50        N/A |       3.4183
UNLU    |       N/A       N/A       N/A  |       0.85       0.06 |       3.4080
USAK    |       N/A       N/A       N/A  |       0.37       0.74 |       3.1615
VANGD   |       N/A       N/A       N/A  |       4.53      15.83 |       5.7497
VERTU   |       N/A       N/A       N/A  |       0.47        N/A |       3.3982
VERUS   |       N/A       N/A       N/A  |       9.87      65.06 |       9.6719
VESBE   |       N/A      1.48       N/A  |       0.28       0.17 |       3.0970
VESTL   |       N/A      2.83       N/A  |       0.33       0.07 |       3.1239
VKFYO   |       N/A       N/A       N/A  |      14.27       4.47 |      10.1263
VKING   |       N/A       N/A       N/A  |      16.69       1.50 |      10.6732
VRGYO   |       N/A       N/A       N/A  |       0.35      10.43 |       3.3436
VSNMD   |       N/A       N/A       N/A  |       2.91       8.21 |       4.7036
YAYLA   |       N/A       N/A       N/A  |       1.47      11.91 |       3.9883
YESIL   |       N/A       N/A       N/A  |       0.66    -340.98 |       3.5040
YONGA   |       N/A       N/A       N/A  |       1.47       2.01 |       3.7916
ZERGY   |       N/A       N/A       N/A  |       3.06      24.15 |       5.1077
ZGYO    |       N/A       N/A       N/A  |       2.53     670.94 |      17.7493
ZOREN   |       N/A       N/A       N/A  |       0.24       0.41 |       3.0832

################################################################################


